factor_id,name_zh,name_en,family,metadata_quality,best_horizon,final_quality_class,final_quality_score,score_confidence,computation_integrity_score,predictive_ranking_score,portfolio_extraction_score,stability_score,quantile_shape_score,direction_interpretability_score,redundancy_novelty_score,redundancy_confidence,coverage_rate,rankic_mean,rankic_ir,monthly_ic_positive_rate,long_short_sharpe,long_short_annualized_return,long_short_max_drawdown,long_short_positive_month_rate,quantile_shape,main_strengths_zh,main_weaknesses_zh,main_strengths_en,main_weaknesses_en,review_notes_zh,review_notes_en,recommended_next_action,review_substatus,review_subreason_zh,review_subreason_en,ml_gate_status,ml_gate_reason_zh,ml_gate_reason_en,ml_gate_risk_flags,workflow_review_bucket,workflow_review_reasons,after_funding_best_horizon,after_funding_long_short_spread,after_funding_coverage_rate,bucket_tail_diagnosis,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,valid_redundancy_pair_count,expected_redundancy_pair_count,valid_redundancy_pair_coverage,insufficient_overlap_pair_count,nearest_factor,nearest_abs_spearman_corr,strongest_redundancy_level,novelty_assessment,redundancy_cluster_id,redundancy_cluster_size
q158_klen_open,q158_klen_open,Q158 Klen Open,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,67.98,LOW,90.0,100.0,71.9,50.7,70,30.0,20.0,HIGH,1.0,-0.090915,-0.4677,0.08,1.0745,0.670413,-0.056607,0.64,NEAR_MONOTONIC,预测排名能力(100); 计算完整性(90),方向可解释性(30); 新颖性与冗余度(20),Predictive Ranking(100); Computation Integrity(90),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,cost_collapsed|high_redundancy|ls_not_robust|metadata_needs_review|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,0.00669785,1.0,MIXED_OR_WEAK,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,range_1h,0.999898,NEAR_DUPLICATE,HIGHLY_REDUNDANT,30,3
q158_klow_open,q158_klow_open,Q158 Klow Open,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,62.48,LOW,90.0,95.7,66.5,48.4,40,30.0,20.0,HIGH,1.0,-0.054924,-0.3729,0.04,0.9461,0.382268,-0.041101,0.6,NON_MONOTONIC,预测排名能力(96); 计算完整性(90),方向可解释性(30); 新颖性与冗余度(20),Predictive Ranking(96); Computation Integrity(90),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|ls_not_robust|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00394001,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,184,256,0.7188,72,klow_close,0.999925,NEAR_DUPLICATE,HIGHLY_REDUNDANT,19,2
q158_klow_range,q158_klow_range,Q158 Klow Range,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,37.28,LOW,90.0,19.5,25.6,41.9,70,30.0,20.0,HIGH,1.0,-0.006121,-0.0549,0.12,-1.8915,-1.09535,-0.003132,0.24,NEAR_MONOTONIC,计算完整性(90); 分位形状(70),新颖性与冗余度(20); 预测排名能力(19),Computation Integrity(90); Quantile Shape(70),Redundancy / Novelty(20); Predictive Ranking(19),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review,LONGSHORT_STRONG_RANKIC_WEAK,,72h,-0.00124238,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,candle_wick_lower,0.999943,NEAR_DUPLICATE,HIGHLY_REDUNDANT,10,2
q158_kmid_open,q158_kmid_open,Q158 Kmid Open,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,52.15,LOW,90.0,77.8,29.7,38.3,70,30.0,20.0,HIGH,1.0,-0.036555,-0.2303,0.0,-1.4735,-1.034118,-0.003312,0.28,NEAR_MONOTONIC,计算完整性(90); 预测排名能力(78),组合提取能力(30); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(78),Portfolio Extraction(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00149312,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,intraday_ret,1.0,NEAR_DUPLICATE,HIGHLY_REDUNDANT,9,14
q158_kmid_range,q158_kmid_range,Q158 Kmid Range,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,52.38,LOW,90.0,75.5,24.7,37.1,90,30.0,20.0,HIGH,1.0,-0.031132,-0.245,0.0,-2.0734,-1.170073,-0.003703,0.24,MONOTONIC_GOOD,计算完整性(90); 分位形状(90),组合提取能力(25); 新颖性与冗余度(20),Computation Integrity(90); Quantile Shape(90),Portfolio Extraction(25); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00112017,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,candle_body,0.999975,NEAR_DUPLICATE,HIGHLY_REDUNDANT,9,14
q158_ksft_open,q158_ksft_open,Q158 Ksft Open,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,50.86,LOW,90.0,78.8,23.9,35.9,70,30.0,20.0,HIGH,1.0,-0.03887,-0.2464,0.0,-2.7911,-1.651435,-0.004722,0.2,NEAR_MONOTONIC,计算完整性(90); 预测排名能力(79),组合提取能力(24); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(79),Portfolio Extraction(24); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00081767,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,q158_ksft_range,0.94415,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,9,14
q158_ksft_range,q158_ksft_range,Q158 Ksft Range,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,51.92,LOW,90.0,76.5,23.1,34.6,90,30.0,20.0,HIGH,1.0,-0.033409,-0.2728,0.0,-3.4749,-2.115014,-0.006043,0.16,MONOTONIC_GOOD,计算完整性(90); 分位形状(90),组合提取能力(23); 新颖性与冗余度(20),Computation Integrity(90); Quantile Shape(90),Portfolio Extraction(23); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00031721,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,wq101_alpha54,0.994532,NEAR_DUPLICATE,HIGHLY_REDUNDANT,9,14
q158_kup_open,q158_kup_open,Q158 Kup Open,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,60.27,LOW,90.0,100.0,30.0,75.1,40,30.0,20.0,HIGH,1.0,0.056496,0.3831,0.96,-1.3085,-0.564205,-0.136107,0.36,NON_MONOTONIC,预测排名能力(100); 计算完整性(90),方向可解释性(30); 新颖性与冗余度(20),Predictive Ranking(100); Computation Integrity(90),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,cost_collapsed|high_redundancy|ls_not_robust|mean_median_split|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict|mean_spread_outlier_dominated,72h,-0.00525771,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,candle_wick_upper,0.810132,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,11,3
q158_kup_range,q158_kup_range,Q158 Kup Range,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,42.89,LOW,90.0,35.0,23.9,42.3,90,30.0,20.0,HIGH,1.0,-0.010027,-0.0897,0.16,-2.4758,-1.387146,-0.003952,0.2,MONOTONIC_GOOD,计算完整性(90); 分位形状(90),组合提取能力(24); 新颖性与冗余度(20),Computation Integrity(90); Quantile Shape(90),Portfolio Extraction(24); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 1h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,cost_collapsed|high_redundancy|mean_median_split|metadata_needs_review,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,72h,-0.0004388,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,184,256,0.7188,72,candle_wick_upper,0.999943,NEAR_DUPLICATE,HIGHLY_REDUNDANT,11,3
q158_low_close_0h,q158_low_close_0h,Q158 Low Close 0H,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,65.85,LOW,90.0,100.0,31.6,76.8,70,30.0,40.0,HIGH,1.0,0.062831,0.403,1.0,-1.1172,-0.498642,-0.131956,0.36,NEAR_MONOTONIC,预测排名能力(100); 计算完整性(90),组合提取能力(32); 方向可解释性(30),Predictive Ranking(100); Computation Integrity(90),Portfolio Extraction(32); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Alpha158 normalized price-location feature over a 1-bar lag window. It compares,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,cost_collapsed|ls_not_robust|mean_median_split|metadata_needs_review|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,72h,-0.00502967,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,q158_ksft_range,0.766524,MODERATE_REDUNDANCY,MODERATELY_REDUNDANT,32,1
q158_low_close_1h,q158_low_close_1h,Q158 Low Close 1H,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,71.72,LOW,90.0,87.6,68.1,88.0,70,30.0,40.0,HIGH,0.99992,0.047763,0.299,1.0,0.7363,0.566509,-0.000903,0.6,NEAR_MONOTONIC,计算完整性(90); 稳定性(88),新颖性与冗余度(40); 方向可解释性(30),Computation Integrity(90); Stability(88),Redundancy / Novelty(40); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Alpha158 normalized price-location feature over a 2-bar lag window. It compares,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,cost_collapsed|funding_adjusted_edge_nonpositive|ls_not_robust|mean_median_split|metadata_needs_review,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,72h,-0.00399455,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,q158_open_close_1h,0.797475,MODERATE_REDUNDANCY,MODERATELY_REDUNDANT,33,1
q158_low_close_2h,Alpha158 前2期最低价/当前收盘价,Alpha158 LOW2 / Close,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,60.71,LOW,90.0,86.6,43.9,81.8,40,30.0,20.0,HIGH,0.99984,0.045331,0.2873,1.0,-0.4592,-0.220796,-0.005207,0.4,NON_MONOTONIC,计算完整性(90); 预测排名能力(87),方向可解释性(30); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(87),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: Alpha158价格标准化特征，使用3根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Alpha158 normalized price-location feature over a 3-bar lag window. It compares,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|ls_not_robust|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,-0.00403912,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,q158_ma_5h,0.873113,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,7,53
q158_low_close_3h,Alpha158 前3期最低价/当前收盘价,Alpha158 LOW3 / Close,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,63.64,LOW,90.0,85.8,43.7,83.0,70,30.0,20.0,HIGH,0.999759,0.0435,0.2755,1.0,-0.5489,-0.246287,-0.005584,0.44,NEAR_MONOTONIC,计算完整性(90); 预测排名能力(86),方向可解释性(30); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(86),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: Alpha158价格标准化特征，使用4根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Alpha158 normalized price-location feature over a 4-bar lag window. It compares,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|ls_not_robust|metadata_needs_review|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,-0.00406127,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,q158_open_close_2h,0.89689,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,7,53
q158_low_close_4h,Alpha158 前4期最低价/当前收盘价,Alpha158 LOW4 / Close,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,59.75,LOW,90.0,85.2,39.9,83.0,40,30.0,20.0,HIGH,0.999679,0.042225,0.2672,1.0,-0.796,-0.377775,-0.006564,0.44,NON_MONOTONIC,计算完整性(90); 预测排名能力(85),方向可解释性(30); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(85),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: Alpha158价格标准化特征，使用5根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Alpha158 normalized price-location feature over a 5-bar lag window. It compares,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_flip|high_redundancy|ls_not_robust|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,72h,-0.00427993,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,184,256,0.7188,72,q158_open_close_3h,0.916104,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,7,53
q158_ma_10h,Alpha158 10期均价/当前收盘价,Alpha158 MA10 / Close,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,57.4,LOW,90.0,82.3,37.2,75.8,40,30.0,20.0,HIGH,0.999278,0.035448,0.2174,0.88,-0.8919,-0.4055,-0.005931,0.36,NON_MONOTONIC,计算完整性(90); 预测排名能力(82),方向可解释性(30); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(82),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 10h. Higher values indicate stronger recent upw,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_flip|high_redundancy|ls_not_robust|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,72h,-0.00342824,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,184,256,0.7188,72,rsi_7h,0.914432,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,7,53
q158_ma_20h,q158_ma_20h,Q158 Ma 20H,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,55.31,LOW,90.0,82.1,26.6,76.5,40,30.0,20.0,HIGH,0.998476,0.034815,0.21,0.96,-1.8566,-0.800817,-0.009141,0.28,NON_MONOTONIC,计算完整性(90); 预测排名能力(82),组合提取能力(27); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(82),Portfolio Extraction(27); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 20h. Higher values indicate stronger recent upw,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,-0.00451799,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,vwap_dev_20h,0.97533,NEAR_DUPLICATE,HIGHLY_REDUNDANT,7,53
q158_ma_30h,Alpha158 30期均价/当前收盘价,Alpha158 MA30 / Close,,NEEDS_REVIEW,4h,REVIEW_REQUIRED,58.65,LOW,90.0,82.1,26.2,79.3,70,30.0,20.0,MEDIUM,0.997674,0.034802,0.2071,1.0,-2.0235,-0.885833,-0.010332,0.32,NEAR_MONOTONIC,计算完整性(90); 预测排名能力(82),组合提取能力(26); 新颖性与冗余度(20),Computation Integrity(90); Predictive Ranking(82),Portfolio Extraction(26); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 30h. Higher values indicate stronger recent upw,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,high_redundancy|metadata_needs_review|rankic_ls_direction_conflict,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,-0.00521161,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,48,256,0.1875,208,q158_qtlu_30h,0.938006,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,21,16
q158_ma_5h,Alpha158 5期均价/当前收盘价,Alpha158 MA5 / Close,,NEEDS_REVIEW,1h,REVIEW_REQUIRED,66.33,LOW,90.0,83.6,58.9,84.4,70,30.0,20.0,HIGH,0.999679,0.038322,0.2349,1.0,0.3556,0.286102,-0.00109,0.48,NEAR_MONOTONIC,计算完整性(90); 稳定性(84),方向可解释性(30); 新颖性与冗余度(20),Computation Integrity(90); Stability(84),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 5h. Higher values indicate stronger recent upwa,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_nonpositive|high_redundancy|ls_not_robust|metadata_needs_review,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,72h,-0.00259499,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,rev_3h,0.926925,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,7,53
