factor_id,source_family,exact_formula,source_reference,required_columns,required_ops,compute_scope,timeframe_mapping,lookback,expected_direction,implementation_status,skip_reason
wq101_alpha12,alpha101,"sign(delta($volume,1))*(-delta($close,1))","WorldQuant 101 Alpha#12 proxy implemented in scripts/factor_formula_registry.py; documented in docs/factor_library/audits/pm08_factor_candidate_source_map.md","volume|close","delta|sign|multiply",single_symbol,"WorldQuant 101 daily formula adapted to 1h crypto bars; delta(1) needs 2 bars",2,conditional,existing_support_backfill_20260627,
wq101_alpha53,alpha101,"-delta((($close-$low)-($high-$close))/($close-$low+0.001),9)","WorldQuant 101 Alpha#53 proxy implemented in scripts/factor_formula_registry.py; documented in docs/factor_library/audits/pm08_factor_candidate_source_map.md","high|low|close","sub|divide|delta",single_symbol,"WorldQuant 101 daily formula adapted to 1h crypto bars; delta(9) needs 10 bars",10,conditional,existing_support_backfill_20260627,
wq101_alpha1,alpha101,"rank(ts_argmax(signedpower(where(returns<0,stddev(returns,20),$close),2),5))-0.5","WorldQuant 101 Alpha#1 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","returns|rolling_std|where|signedpower|rolling_idxmax|xs_rank|sub",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",25,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha2,alpha101,"-correlation(rank(delta(log($volume),2)),rank(($close-$open)/$open),6)","WorldQuant 101 Alpha#2 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close|volume","log|delta|xs_rank|rolling_corr|divide|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",8,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha3,alpha101,"-correlation(rank($open),rank($volume),10)","WorldQuant 101 Alpha#3 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|volume","xs_rank|rolling_corr|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha4,alpha101,"-ts_rank(rank($low),9)","WorldQuant 101 Alpha#4 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","low","xs_rank|ts_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank(low) is cross-sectional and ts_rank is per symbol",9,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha5,alpha101,"rank($open-sum(vwap,10)/10)*(-1*abs(rank($close-vwap))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#5 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close|volume|quote_volume","rolling_sum|xs_rank|abs|multiply|sub|divide",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; vwap derives from quote_volume/volume",10,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha7,alpha101,"where(adv20<$volume,-ts_rank(abs(delta($close,7)),60)*sign(delta($close,7)),-1)","WorldQuant 101 Alpha#7 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","rolling_mean|delta|abs|ts_rank|sign|where|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 maps to rolling mean volume",67,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha8,alpha101,"-rank(sum($open,5)*sum(returns,5)-delay(sum($open,5)*sum(returns,5),10))","WorldQuant 101 Alpha#8 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close","returns|rolling_sum|delay|xs_rank|multiply|sub",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",15,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha10,alpha101,"rank(where(ts_min(delta($close,1),4)>0,delta($close,1),where(ts_max(delta($close,1),4)<0,delta($close,1),-delta($close,1))))","WorldQuant 101 Alpha#10 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","delta|rolling_min|rolling_max|where|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; conditional branch mirrors Alpha9 with four-bar extrema",5,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha11,alpha101,"(rank(ts_max(vwap-$close,3))+rank(ts_min(vwap-$close,3)))*rank(delta($volume,3)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#11 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","rolling_max|rolling_min|delta|xs_rank|add|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; vwap derives from quote_volume/volume",4,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha13,alpha101,"-rank(covariance(rank($close),rank($volume),5))","WorldQuant 101 Alpha#13 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","xs_rank|rolling_cov|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; covariance is per symbol over time",5,conditional,implemented_alpha101_panel_batch_08,
wq101_alpha14,alpha101,"-rank(delta(returns,3))*correlation($open,$volume,10)","WorldQuant 101 Alpha#14 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close|volume","returns|delta|xs_rank|rolling_corr|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha15,alpha101,"-sum(rank(correlation(rank($high),rank($volume),3)),3)","WorldQuant 101 Alpha#15 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|volume","xs_rank|rolling_corr|rolling_sum|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; nested ranks are cross-sectional per timestamp",5,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha16,alpha101,"-rank(covariance(rank($high),rank($volume),5))","WorldQuant 101 Alpha#16 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|volume","xs_rank|rolling_cov|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; covariance is per symbol over time",5,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha17,alpha101,"-rank(ts_rank($close,10))*rank(delta(delta($close,1),1))*rank(ts_rank($volume/adv20,5)); adv20=mean($volume,20)","WorldQuant 101 Alpha#17 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","rolling_mean|ts_rank|delta|xs_rank|divide|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 maps to rolling mean volume",24,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha18,alpha101,"-rank(stddev(abs($close-$open),5)+($close-$open)+correlation($close,$open,10))","WorldQuant 101 Alpha#18 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close","rolling_std|abs|rolling_corr|xs_rank|add|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha19,alpha101,"-sign(($close-delay($close,7))+delta($close,7))*(1+rank(1+sum(returns,250)))","WorldQuant 101 Alpha#19 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","returns|delay|delta|sign|rolling_sum|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; long return sum uses 250 bars",251,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha20,alpha101,"-rank($open-delay($high,1))*rank($open-delay($close,1))*rank($open-delay($low,1))","WorldQuant 101 Alpha#20 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|close","delay|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",2,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha22,alpha101,"-delta(correlation($high,$volume,5),5)*rank(stddev($close,20))","WorldQuant 101 Alpha#22 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|close|volume","rolling_corr|delta|rolling_std|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",20,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha26,alpha101,"-ts_max(correlation(ts_rank($volume,5),ts_rank($high,5),5),3)","WorldQuant 101 Alpha#26 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|volume","ts_rank|rolling_corr|rolling_max|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; ts_rank and ts_max are per symbol",11,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha27,alpha101,"where(0.5<rank(sum(correlation(rank($volume),rank(vwap),6),2)/2),-1,1); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#27 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","volume|quote_volume","xs_rank|rolling_corr|rolling_sum|where|divide",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean branch emits -1/1 diagnostic values",7,conditional,implemented_alpha101_panel_batch_09,
wq101_alpha29,alpha101,"min(rank(rank(scale(log(ts_min(rank(rank(-rank(delta($close,5))),2))))),5)+ts_rank(delay(-returns,6),5)","WorldQuant 101 Alpha#29 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","returns|delta|delay|xs_rank|xs_scale|rolling_min|log|ts_rank|add",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; nested cross-sectional ranks and scale retained",11,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha31,alpha101,"rank(rank(rank(decay_linear(-rank(rank(delta($close,10))),10))))+rank(-delta($close,3))+sign(scale(correlation(adv20,$low,12)))","WorldQuant 101 Alpha#31 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|low|volume","rolling_mean|delta|xs_rank|decay_linear|rolling_corr|xs_scale|sign|add",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 maps to rolling mean volume",31,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha36,alpha101,"2.21*rank(correlation($close-$open,delay($volume,1),15))+0.7*rank($open-$close)+0.73*rank(ts_rank(delay(-returns,6),5))+rank(abs(correlation(vwap,adv20,6)))+0.6*rank((sum($close,200)/200-$open)*($close-$open)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#36 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close|volume|quote_volume","rolling_mean|rolling_sum|delay|returns|rolling_corr|ts_rank|xs_rank|abs|add|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; weighted formula coefficients retained",200,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha39,alpha101,"-rank(delta($close,7)*(1-rank(decay_linear($volume/adv20,9))))*(1+rank(sum(returns,250)))","WorldQuant 101 Alpha#39 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","returns|rolling_mean|delta|divide|decay_linear|xs_rank|rolling_sum|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 maps to rolling mean volume",251,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha57,alpha101,"-(($close-vwap)/decay_linear(rank(ts_argmax($close,30)),2)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#57 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","ts_argmax|xs_rank|decay_linear|divide|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; ts_argmax uses local rolling index convention",31,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha62,alpha101,"-1*(rank(correlation(vwap,sum(adv20,22),10))<rank((rank($open)+rank($open))<(rank(($high+$low)/2)+rank($high)))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#62 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean branch emits -1/0 diagnostic values",51,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha64,alpha101,"-1*(rank(correlation(sum(0.178404*$open+(1-0.178404)*$low,13),sum(adv120,13),17))<rank(delta(0.178404*(($high+$low)/2)+(1-0.178404)*vwap,4))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#64 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|delta|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; decimal windows rounded to nearest integer",149,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha66,alpha101,"-1*(rank(decay_linear(delta(vwap,4),7))+ts_rank(decay_linear(($low-vwap)/($open-(($high+$low)/2)),11),7)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#66 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|volume|quote_volume","delta|decay_linear|xs_rank|ts_rank|divide|add|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; denominator uses mid-price location with zero guard",17,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha71,alpha101,"max(ts_rank(decay_linear(correlation(ts_rank($close,3),ts_rank(adv180,12),18),4),16),ts_rank(decay_linear(rank(($low+$open)-(vwap+vwap))^2,16),4)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#71 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|low|close|volume|quote_volume","rolling_mean|rolling_corr|ts_rank|decay_linear|xs_rank|power|row_max",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; max combines two decayed rank branches",229,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha72,alpha101,"rank(decay_linear(correlation(($high+$low)/2,adv40,9),10))/rank(decay_linear(correlation(ts_rank(vwap,4),ts_rank($volume,19),7),3)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#72 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|volume|quote_volume","rolling_mean|rolling_corr|ts_rank|decay_linear|xs_rank|divide",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; denominator rank is zero-guarded",49,conditional,implemented_alpha101_panel_batch_10,
wq101_alpha73,alpha101,"-max(rank(decay_linear(delta(vwap,5),3)),ts_rank(decay_linear(-delta(0.147155*$open+(1-0.147155)*$low,2)/(0.147155*$open+(1-0.147155)*$low),3),17)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#73 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|low|volume|quote_volume","delta|decay_linear|xs_rank|ts_rank|divide|row_max|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; decimal windows rounded to nearest integer",26,conditional,implemented_alpha101_panel_batch_11,
wq101_alpha81,alpha101,"-1*(rank(log(product(rank((rank(correlation(vwap,sum(adv10,50),8))^4)),15)))<rank(correlation(rank(vwap),rank($volume),5))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#81 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|power|rolling_product|log|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits -1/0 diagnostic values",82,conditional,implemented_alpha101_panel_batch_11,
wq101_alpha84,alpha101,"signedpower(ts_rank(vwap-ts_max(vwap,15),21),delta($close,5)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#84 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","rolling_max|ts_rank|delta|signedpower",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; signed power uses zero/finite guards",35,conditional,implemented_alpha101_panel_batch_11,
wq101_alpha96_low_coverage_skipped,alpha101,"-max(ts_rank(decay_linear(correlation(rank(vwap),rank($volume),4),4),8),ts_rank(decay_linear(ts_argmax(correlation(ts_rank($close,7),ts_rank(adv60,4),4),13),14),13)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#96 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","rolling_mean|xs_rank|rolling_corr|ts_rank|decay_linear|ts_argmax|row_max|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; skipped because nested rolling-correlation branches produce near-zero coverage in current universe",103,conditional,skipped_low_coverage_20260628,"Skipped: dry-run coverage was only 62 finite rows out of 3301833 panel rows (~0.002%), so the formula is not suitable for current factor-library intake."
wq101_alpha98,alpha101,"rank(decay_linear(correlation(vwap,sum(adv5,26),5),7))-rank(decay_linear(ts_rank(ts_argmin(correlation(rank($open),rank(adv15),21),9),7),8)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#98 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|ts_argmin|ts_rank|decay_linear|sub",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; argmin uses local rolling-index convention",55,conditional,implemented_alpha101_panel_batch_11,
wq101_alpha6,alpha101,"-correlation($open,$volume,10)","WorldQuant 101 Alpha#6 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|volume","rolling_corr|multiply",single_symbol,"WorldQuant 101 daily formula adapted to ten one-hour crypto bars",10,conditional,implemented_alpha101_ohlcv_batch_01,
wq101_alpha9,alpha101,"where(ts_min(delta($close,1),5)>0,delta($close,1),where(ts_max(delta($close,1),5)<0,delta($close,1),-delta($close,1)))","WorldQuant 101 Alpha#9 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","delta|rolling_min|rolling_max|where|multiply",single_symbol,"WorldQuant 101 daily formula adapted to five one-hour close-delta window; delta warmup needs 6 bars",6,conditional,implemented_alpha101_ohlcv_batch_01,
wq101_alpha21,alpha101,"where((mean($close,8)+std($close,8))<mean($close,2),-1,where(mean($close,2)<(mean($close,8)-std($close,8)),1,where(($volume/adv20)>=1,1,-1)))","WorldQuant 101 Alpha#21 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","rolling_mean|rolling_std|divide|where",single_symbol,"WorldQuant 101 daily formula adapted to one-hour close and volume bars; adv20 maps to rolling mean volume over 20 bars",20,conditional,implemented_alpha101_ohlcv_batch_01,
wq101_alpha41,alpha101,"sqrt($high*$low)-vwap; vwap=$quote_volume/$volume","WorldQuant 101 Alpha#41 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|volume|quote_volume","multiply|sqrt|divide|sub",single_symbol,"WorldQuant 101 daily formula adapted to current 1h crypto bar; vwap derived from canonical quote_volume/volume",1,conditional,implemented_alpha101_ohlcv_batch_01,
wq101_alpha54,alpha101,"(-1*(($low-$close)*($open^5)))/(($low-$high)*($close^5))","WorldQuant 101 Alpha#54 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|close","sub|power|multiply|divide",single_symbol,"WorldQuant 101 daily OHLC formula adapted to current 1h crypto bar",1,conditional,implemented_alpha101_ohlcv_batch_01,
wq101_alpha23,alpha101,"where(mean($high,20)<$high,-delta($high,2),0)","WorldQuant 101 Alpha#23 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high","rolling_mean|delta|where|multiply",single_symbol,"WorldQuant 101 daily high-price formula adapted to one-hour bars",20,conditional,implemented_alpha101_ohlcv_batch_02,
wq101_alpha24,alpha101,"where(delta(mean($close,100),100)/delay($close,100)<=0.05, -($close-ts_min($close,100)), -delta($close,3))","WorldQuant 101 Alpha#24 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","rolling_mean|delta|delay|rolling_min|where|multiply",single_symbol,"WorldQuant 101 daily formula adapted to one-hour close bars; 100-bar mean drift branch needs 200 bars",200,conditional,implemented_alpha101_ohlcv_batch_02,
wq101_alpha46,alpha101,"where((((delay($close,20)-delay($close,10))/10)-((delay($close,10)-$close)/10))>0.25,-1,where((((delay($close,20)-delay($close,10))/10)-((delay($close,10)-$close)/10))<0,1,-delta($close,1)))","WorldQuant 101 Alpha#46 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","delay|delta|where|sub|divide|multiply",single_symbol,"WorldQuant 101 daily close-slope state formula adapted to one-hour bars",21,conditional,implemented_alpha101_ohlcv_batch_02,
wq101_alpha49,alpha101,"where(((delay($close,20)-delay($close,10))/10)-((delay($close,10)-$close)/10)<-0.1,1,-delta($close,1))","WorldQuant 101 Alpha#49 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","delay|delta|where|sub|divide|multiply",single_symbol,"WorldQuant 101 daily formula adapted to one-hour close bars",21,conditional,implemented_alpha101_ohlcv_batch_02,
wq101_alpha51,alpha101,"where(((delay($close,20)-delay($close,10))/10)-((delay($close,10)-$close)/10)<-0.05,1,-delta($close,1))","WorldQuant 101 Alpha#51 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","delay|delta|where|sub|divide|multiply",single_symbol,"WorldQuant 101 daily close-slope state formula adapted to one-hour bars",21,conditional,implemented_alpha101_ohlcv_batch_02,
wq101_alpha32,alpha101,"scale((mean($close,7)-$close))+20*scale(correlation(vwap,delay($close,5),230)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#32 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","rolling_mean|delay|rolling_corr|xs_scale|multiply|add",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; scale is cross-sectional per timestamp and vwap derives from quote_volume/volume",235,conditional,implemented_alpha101_panel_batch_03,
wq101_alpha33,alpha101,"rank(-1*(1-($open/$close)))","WorldQuant 101 Alpha#33 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close","divide|sub|multiply|xs_rank",panel,"WorldQuant 101 daily formula adapted to current 1h crypto panel; rank is cross-sectional per timestamp",1,conditional,implemented_alpha101_panel_batch_03,
wq101_alpha37,alpha101,"rank(correlation(delay(($open-$close),1),$close,200))+rank($open-$close)","WorldQuant 101 Alpha#37 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close","sub|delay|rolling_corr|xs_rank|add",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",201,conditional,implemented_alpha101_panel_batch_03,
wq101_alpha38,alpha101,"-rank(ts_rank($close,10))*rank($close/$open)","WorldQuant 101 Alpha#38 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close","ts_rank|divide|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; outer rank is cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_03,
wq101_alpha44,alpha101,"-correlation($high,rank($volume),5)","WorldQuant 101 Alpha#44 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|volume","xs_rank|rolling_corr|multiply",panel,"WorldQuant 101 daily formula adapted to five one-hour bars; rank(volume) is cross-sectional per timestamp",5,conditional,implemented_alpha101_panel_batch_03,
wq101_alpha45,alpha101,"-rank(mean(delay($close,5),20))*correlation($close,$volume,2)*rank(correlation(sum($close,5),sum($close,20),2))","WorldQuant 101 Alpha#45 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","delay|rolling_mean|rolling_sum|rolling_corr|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",25,conditional,implemented_alpha101_panel_batch_03,
