factor_id,family,lifecycle_status,name_en,name_zh,family_en,family_zh,formula_en,formula_zh,intuition_en,intuition_zh,required_columns,expected_direction,expected_direction_explanation_en,expected_direction_explanation_zh,known_limitations_en,known_limitations_zh,data_source_type,horizon_notes_en,horizon_notes_zh,status_explanation_en,status_explanation_zh,review_required_flag,metadata_quality,source_fields
q158_kmid_open,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Kmid Open,q158_kmid_open,Momentum,动量,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,open",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_kmid_range,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Kmid Range,q158_kmid_range,Momentum,动量,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low,open",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_kup_open,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Kup Open,q158_kup_open,Momentum,动量,"Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open","Alpha158 KUP: (high - max(open, close)) / open; upper shadow normalized by open",Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,open",negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_kup_range,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Kup Range,q158_kup_range,Momentum,动量,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range","Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low,open",negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_klow_open,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Klow Open,q158_klow_open,Momentum,动量,"Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open","Alpha158 KLOW: (min(open, close) - low) / open; lower shadow normalized by open",Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,low,open",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_klow_range,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Klow Range,q158_klow_range,Momentum,动量,"Alpha158 KLOW2: (min(open, close) - low) / (high - low + eps); lower shadow normalized by range","Alpha158 KLOW2: (min(open, close) - low) / (high - low + eps); lower shadow normalized by range",Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low,open",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_ksft_open,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Ksft Open,q158_ksft_open,Momentum,动量,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,Alpha158 KSFT: (2*close - high - low) / open; signed close-location shift normalized by open,Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low,open",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_ksft_range,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Ksft Range,q158_ksft_range,Momentum,动量,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,Alpha158 KSFT2: (2*close - high - low) / (high - low + eps); signed close-location shift normalized by range,Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low",positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_rsv_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Rsv 20H,q158_rsv_20h,Momentum,动量,"Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position","Alpha158 RSV20: (close - Min(low,20)) / (Max(high,20) - Min(low,20) + eps); 1h adaptation of rolling price position",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high,low",conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_open_close_0h,alpha158_price,DIAGNOSTIC_PROBE,Q158 Open Close 0H,q158_open_close_0h,Alpha158 Price,Alpha158 价格标准化,Alpha158 OPEN0: open / close; current open normalized by current close from Alpha158 price feature block,Alpha158 OPEN0: open / close; current open normalized by current close from Alpha158 price feature block,Alpha158 normalized price-location feature over a 1-bar lag window. It compares lagged OHLC levels with current close.,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,"close,open",conditional,"Direction is conditional: normalized price-location can reflect continuation, reversal pressure, or redundant price level context.",方向为条件式：标准化价格位置可能反映延续、反转压力，或仅提供冗余价格位置背景。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,HYBRID,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_high_close_0h,alpha158_price,DIAGNOSTIC_PROBE,Q158 High Close 0H,q158_high_close_0h,Alpha158 Price,Alpha158 价格标准化,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block,Alpha158 normalized price-location feature over a 1-bar lag window. It compares lagged OHLC levels with current close.,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,"close,high",conditional,"Direction is conditional: normalized price-location can reflect continuation, reversal pressure, or redundant price level context.",方向为条件式：标准化价格位置可能反映延续、反转压力，或仅提供冗余价格位置背景。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,HYBRID,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_low_close_0h,alpha158_price,DIAGNOSTIC_PROBE,Q158 Low Close 0H,q158_low_close_0h,Alpha158 Price,Alpha158 价格标准化,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block,Alpha158 normalized price-location feature over a 1-bar lag window. It compares lagged OHLC levels with current close.,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,"close,low",conditional,"Direction is conditional: normalized price-location can reflect continuation, reversal pressure, or redundant price level context.",方向为条件式：标准化价格位置可能反映延续、反转压力，或仅提供冗余价格位置背景。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,HYBRID,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_open_close_1h,alpha158_price,DIAGNOSTIC_PROBE,Q158 Open Close 1H,q158_open_close_1h,Alpha158 Price,Alpha158 价格标准化,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block","Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block",Alpha158 normalized price-location feature over a 2-bar lag window. It compares lagged OHLC levels with current close.,Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,"close,open",conditional,"Direction is conditional: normalized price-location can reflect continuation, reversal pressure, or redundant price level context.",方向为条件式：标准化价格位置可能反映延续、反转压力，或仅提供冗余价格位置背景。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,HYBRID,Lookback window: 2 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：2根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_high_close_1h,alpha158_price,DIAGNOSTIC_PROBE,Q158 High Close 1H,q158_high_close_1h,Alpha158 Price,Alpha158 价格标准化,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block","Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block",Alpha158 normalized price-location feature over a 2-bar lag window. It compares lagged OHLC levels with current close.,Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,"close,high",conditional,"Direction is conditional: normalized price-location can reflect continuation, reversal pressure, or redundant price level context.",方向为条件式：标准化价格位置可能反映延续、反转压力，或仅提供冗余价格位置背景。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,HYBRID,Lookback window: 2 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：2根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
