factor_id,metadata_quality,qa_notes_zh,qa_notes_en,changed_in_pm14b,needs_human_review,reason
wq101_alpha18,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha19,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配251小时K线。,"Alpha formula from WQ101 paper, adapted for 251h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha20,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配2小时K线。,"Alpha formula from WQ101 paper, adapted for 2h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha22,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha26,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配11小时K线。,"Alpha formula from WQ101 paper, adapted for 11h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha27,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配7小时K线。,"Alpha formula from WQ101 paper, adapted for 7h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha6,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha9,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配6小时K线。,"Alpha formula from WQ101 paper, adapted for 6h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha21,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha41,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配1小时K线。,"Alpha formula from WQ101 paper, adapted for 1h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha54,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配1小时K线。,"Alpha formula from WQ101 paper, adapted for 1h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha23,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha24,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配200小时K线。,"Alpha formula from WQ101 paper, adapted for 200h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha46,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配21小时K线。,"Alpha formula from WQ101 paper, adapted for 21h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha49,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配21小时K线。,"Alpha formula from WQ101 paper, adapted for 21h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha51,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配21小时K线。,"Alpha formula from WQ101 paper, adapted for 21h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha32,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配235小时K线。,"Alpha formula from WQ101 paper, adapted for 235h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha33,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配1小时K线。,"Alpha formula from WQ101 paper, adapted for 1h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha37,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配201小时K线。,"Alpha formula from WQ101 paper, adapted for 201h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha38,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha44,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配5小时K线。,"Alpha formula from WQ101 paper, adapted for 5h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha45,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配25小时K线。,"Alpha formula from WQ101 paper, adapted for 25h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha34,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配6小时K线。,"Alpha formula from WQ101 paper, adapted for 6h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha40,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha42,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配1小时K线。,"Alpha formula from WQ101 paper, adapted for 1h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha50,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配9小时K线。,"Alpha formula from WQ101 paper, adapted for 9h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha55,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配17小时K线。,"Alpha formula from WQ101 paper, adapted for 17h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha60,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha25,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha28,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配24小时K线。,"Alpha formula from WQ101 paper, adapted for 24h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha30,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha35,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配33小时K线。,"Alpha formula from WQ101 paper, adapted for 33h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha43,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配39小时K线。,"Alpha formula from WQ101 paper, adapted for 39h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha52,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配241小时K线。,"Alpha formula from WQ101 paper, adapted for 241h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha47,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配20小时K线。,"Alpha formula from WQ101 paper, adapted for 20h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha61,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配197小时K线。,"Alpha formula from WQ101 paper, adapted for 197h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha65,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配73小时K线。,"Alpha formula from WQ101 paper, adapted for 73h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha68,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配37小时K线。,"Alpha formula from WQ101 paper, adapted for 37h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha74,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配80小时K线。,"Alpha formula from WQ101 paper, adapted for 80h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha75,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配61小时K线。,"Alpha formula from WQ101 paper, adapted for 61h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha77,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配47小时K线。,"Alpha formula from WQ101 paper, adapted for 47h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha78,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配65小时K线。,"Alpha formula from WQ101 paper, adapted for 65h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha83,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配7小时K线。,"Alpha formula from WQ101 paper, adapted for 7h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha85,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配39小时K线。,"Alpha formula from WQ101 paper, adapted for 39h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha86,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配58小时K线。,"Alpha formula from WQ101 paper, adapted for 58h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha88,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配95小时K线。,"Alpha formula from WQ101 paper, adapted for 95h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha92,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配49小时K线。,"Alpha formula from WQ101 paper, adapted for 49h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha94,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配82小时K线。,"Alpha formula from WQ101 paper, adapted for 82h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha95,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配81小时K线。,"Alpha formula from WQ101 paper, adapted for 81h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha99,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配87小时K线。,"Alpha formula from WQ101 paper, adapted for 87h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
q158_high_low_range,DIRECTION_AMBIGUOUS,Alpha158高低价差：(最高-最低)/收盘价。标准化的K线内区间，作为波动率代理。,Alpha158 high-low range: (high-low)/close. Normalized intrabar range as a volati,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
q158_klen_open,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_kmid_open,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_kmid_range,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_kup_open,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_kup_range,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_klow_open,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_klow_range,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_ksft_open,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_ksft_range,SOURCE_MAPPED_REVIEW_REQUIRED,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 1h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_rsv_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_rsv_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_open_close_0h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 1-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_high_close_0h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 1-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_low_close_0h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用1根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 1-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_open_close_1h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 2-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_high_close_1h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 2-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_low_close_1h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用2根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 2-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_open_close_2h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用3根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 3-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_high_close_2h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用3根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 3-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_low_close_2h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用3根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 3-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_open_close_3h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用4根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 4-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_high_close_3h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用4根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 4-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_low_close_3h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用4根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 4-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_open_close_4h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用5根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 5-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_high_close_4h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用5根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 5-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_low_close_4h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用5根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 5-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_close_close_4h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158价格标准化特征，使用5根K线滞后窗口，将滞后的OHLC价位与当前收盘价比较。,Alpha158 normalized price-location feature over a 5-bar lag window. It compares ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_volume_ratio_1h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158滞后成交量比率，使用2根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,Alpha158 lagged volume ratio over a 2-bar window. It compares prior volume with ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_volume_ratio_2h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158滞后成交量比率，使用3根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,Alpha158 lagged volume ratio over a 3-bar window. It compares prior volume with ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_volume_ratio_3h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158滞后成交量比率，使用4根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,Alpha158 lagged volume ratio over a 4-bar window. It compares prior volume with ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_volume_ratio_4h,SOURCE_MAPPED_REVIEW_REQUIRED,Alpha158滞后成交量比率，使用5根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,Alpha158 lagged volume ratio over a 5-bar window. It compares prior volume with ,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_qtlu_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_qtlu_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_qtld_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_qtld_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_rank_close_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_rank_close_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_cntp_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_cntp_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量31小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 31h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_cntn_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_cntn_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量31小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 31h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_sumd_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_sumd_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量31小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 31h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
