variant_id,signal_id,horizon,direction_variant,guard_variant,description,priority,metrics_to_evaluate,pass_criteria,fail_criteria,notes
V17,signal_v0_pm_full_structured,1h,original,no_guard,PM-structured original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V18,signal_v0_pm_full_structured,1h,original,bucket0_guard,PM-structured original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V19,signal_v0_pm_full_structured,1h,inverted,no_guard,PM-structured inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline
V20,signal_v0_pm_full_structured,1h,inverted,bucket0_guard,PM-structured inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V21,signal_v0_pm_full_structured,4h,original,no_guard,PM-structured original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V22,signal_v0_pm_full_structured,4h,original,bucket0_guard,PM-structured original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V23,signal_v0_pm_full_structured,4h,inverted,no_guard,PM-structured inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline
V24,signal_v0_pm_full_structured,4h,inverted,bucket0_guard,PM-structured inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V25,signal_v0_pm_full_structured,24h,original,no_guard,PM-structured original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V26,signal_v0_pm_full_structured,24h,original,bucket0_guard,PM-structured original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V27,signal_v0_pm_full_structured,24h,inverted,no_guard,PM-structured inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V28,signal_v0_pm_full_structured,24h,inverted,bucket0_guard,PM-structured inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
V29,signal_v0_pm_full_structured,72h,original,no_guard,PM-structured original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V30,signal_v0_pm_full_structured,72h,original,bucket0_guard,PM-structured original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V31,signal_v0_pm_full_structured,72h,inverted,no_guard,PM-structured inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V32,signal_v0_pm_full_structured,72h,inverted,bucket0_guard,PM-structured inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
V33,signal_v0_family_balanced_diagnostic,1h,original,no_guard,Family-balanced original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V34,signal_v0_family_balanced_diagnostic,1h,original,bucket0_guard,Family-balanced original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V35,signal_v0_family_balanced_diagnostic,1h,inverted,no_guard,Family-balanced inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline
V36,signal_v0_family_balanced_diagnostic,1h,inverted,bucket0_guard,Family-balanced inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V37,signal_v0_family_balanced_diagnostic,4h,original,no_guard,Family-balanced original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V38,signal_v0_family_balanced_diagnostic,4h,original,bucket0_guard,Family-balanced original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V39,signal_v0_family_balanced_diagnostic,4h,inverted,no_guard,Family-balanced inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline
V40,signal_v0_family_balanced_diagnostic,4h,inverted,bucket0_guard,Family-balanced inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V41,signal_v0_family_balanced_diagnostic,24h,original,no_guard,Family-balanced original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V42,signal_v0_family_balanced_diagnostic,24h,original,bucket0_guard,Family-balanced original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V43,signal_v0_family_balanced_diagnostic,24h,inverted,no_guard,Family-balanced inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V44,signal_v0_family_balanced_diagnostic,24h,inverted,bucket0_guard,Family-balanced inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
V45,signal_v0_family_balanced_diagnostic,72h,original,no_guard,Family-balanced original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V46,signal_v0_family_balanced_diagnostic,72h,original,bucket0_guard,Family-balanced original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V47,signal_v0_family_balanced_diagnostic,72h,inverted,no_guard,Family-balanced inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V48,signal_v0_family_balanced_diagnostic,72h,inverted,bucket0_guard,Family-balanced inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
