prior_id,source_family,original_name,short_description,required_data,crypto_transferability_bucket,implementation_phase,priority,status,notes
wq101_21,WQ101,Alpha#21,Mean of close vs SMA and volume correlation,close;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,SMA and correlation both safe
wq101_22,WQ101,Alpha#22,Negative delta of correlation of high and volume,high;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Delta = shift-based difference; safe
wq101_27,WQ101,Alpha#27,Rank of volume-weighted correlation of high and volume,high;volume,ohlcv_rewrite,2E,LOW,PRIOR_ONLY,Complex rank+correlation; needs adaptation
wq101_33,WQ101,Alpha#33,Rank of -1*(1-(open/close)),open;close,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Simple intraday return; rank needs zscore
gtja_mom_01,GTJA191,Momentum 20-day,Close/Close_lag_20 - 1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Already implemented as mom_20h in V0
gtja_mom_02,GTJA191,Momentum 60-day,Close/Close_lag_60 - 1,close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Longer window momentum
gtja_rev_01,GTJA191,Reversal 5-day,-(Close/Close_lag_5 - 1),close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Already implemented as reversal_5h in V0
gtja_vol_01,GTJA191,Realized Volatility 20-day,std(returns_1h; 20),close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Already implemented as volatility_20h in V0
gtja_vol_02,GTJA191,Realized Volatility 60-day,std(returns_1h; 60),close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Longer window volatility
gtja_tech_01,GTJA191,RSI 14-day,RSI(close; 14),close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Already implemented as rsi_14h in V0
gtja_tech_02,GTJA191,BB Z-Score 20-day,(close-SMA20)/STD20,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Already implemented as bb_zscore_20h in V0
gtja_tech_03,GTJA191,MACD,EMA(close;12)-EMA(close;26),close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Standard MACD with signal line
gtja_tech_04,GTJA191,ATR 14-day,Average True Range over 14 bars,high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Volatility measure using H/L/C
gtja_turn_01,GTJA191,Turnover Rate 20-day,Avg(volume/total_volume; 20),volume,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Need total_volume which is not available; proxy with volume/SMA
gtja_liq_01,GTJA191,Amihud Illiquidity,abs(return)/dollar_volume,close;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Dollar volume = quote_volume
gtja_liq_02,GTJA191,Volume-Weighted Return,return * volume_share,close;volume,ohlcv_rewrite,2E,MEDIUM,PRIOR_ONLY,Volume share needs total volume
q158_ret_1d,Alpha158,Return 1-bar,close/close_lag_1 - 1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Trivial; probably redundant with existing factors
q158_ret_5d,Alpha158,Return 5-bar,close/close_lag_5 - 1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Medium-horizon return
q158_ret_20d,Alpha158,Return 20-bar,close/close_lag_20 - 1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Longer-horizon return
q158_std_20d,Alpha158,Volatility 20-bar,std(returns; 20),close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Same as existing volatility_20h
q158_ma_ratio_5d,Alpha158,Price/MA5 ratio,close/SMA(close;5)-1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Short-term mean reversion signal
q158_ma_ratio_20d,Alpha158,Price/MA20 ratio,close/SMA(close;20)-1,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Medium-term trend signal
q158_vol_ratio_5d,Alpha158,Volume ratio 5-bar,volume/SMA(volume;5),volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Volume surge detection
q158_vwap_corr_20d,Alpha158,VWAP-Price Correlation,corr(close/vwap; returns; 20),close;volume,requires_vwap,2E,MEDIUM,PRIOR_ONLY,VWAP derivable from quote_volume/volume
q158_high_low_range,Alpha158,High-Low Range,(high-low)/close,high;low;close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Intraday range measure
q158_shadow_ratio,Alpha158,Upper/Lower Shadow Ratio,(high-max(open;close))/(min(open;close)-low),open;high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Candle body analysis
tech_macd,Technical,MACD Signal,MACD line crossover,close,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Standard trend signal
tech_stochastic,Technical,Stochastic %K,(close-low_14)/(high_14-low_14),high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Oscillator; overbought/oversold
tech_cci,Technical,CCI 20,(TP-SMA20)/(0.015*MAD),high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Commodity Channel Index
tech_williams_r,Technical,Williams %R,(high_14-close)/(high_14-low_14),high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Inverse of Stochastic
tech_adx,Technical,ADX 14,Directional Movement Index,high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Trend strength indicator
tech_obv,Technical,OBV,On-Balance Volume,close;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Cumulative volume direction
tech_mfi,Technical,MFI 14,Money Flow Index,high;low;close;volume,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Volume-weighted RSI
tech_atr,Technical,ATR 14,Average True Range,high;low;close,ohlcv_direct,2E,MEDIUM,PRIOR_ONLY,Volatility in price units
crypto_vol_pressure,Crypto-Specific,Volume Surge Ratio,volume/SMA(volume;20),volume,ohlcv_direct,2E,HIGH,PRIOR_ONLY,Detect unusual volume activity
crypto_funding,Crypto-Specific,Funding Rate,perpetual funding rate,funding_rate,requires_derivatives,2E,HIGH,PRIOR_ONLY,Binance API available; not in OHLCV bars
crypto_funding_ma,Crypto-Specific,Funding Rate MA 24h,SMA(funding_rate; 3),funding_rate,requires_derivatives,2E,HIGH,PRIOR_ONLY,Smoothed funding signal
crypto_oi_change,Crypto-Specific,Open Interest Change 1h,oi/oi_lag_1 - 1,open_interest,requires_derivatives,2E,HIGH,PRIOR_ONLY,Binance API available
crypto_oi_vol_ratio,Crypto-Specific,OI/Volume Ratio,open_interest/dollar_volume,open_interest;volume,requires_derivatives,2E,MEDIUM,PRIOR_ONLY,Leverage proxy
crypto_basis,Crypto-Specific,Basis,(futures_price-spot_price)/spot_price,spot;futures,requires_derivatives,2E,MEDIUM,PRIOR_ONLY,Needs spot+perp alignment
crypto_ls_ratio,Crypto-Specific,Long/Short Ratio,long_account/short_account,ls_ratio,requires_derivatives,2E,MEDIUM,PRIOR_ONLY,Binance API available
crypto_taker_imbalance,Crypto-Specific,Taker Buy/Sell Imbalance,(taker_buy_vol-taker_sell_vol)/total_vol,aggTrades,requires_microstructure,2E,MEDIUM,PRIOR_ONLY,Needs trade-level classification
crypto_liq_volume,Crypto-Specific,Liquidation Volume,total liquidation volume in 1h,liquidation,requires_external,2E,LOW,PRIOR_ONLY,Needs Coinglass or similar provider
crypto_exchange_flow,Crypto-Specific,Exchange Net Flow,net token flow to exchanges,on_chain,requires_external,2E,LOW,PRIOR_ONLY,Needs Glassnode/CryptoQuant
