factor_id,family,required_columns,missing_required_columns,lookback_window,expected_direction,registry_status,lifecycle_status,factor_values_status,factor_ic_status,coverage,missing_rate,raw_ic_1h,adj_ic_1h,raw_ic_4h,adj_ic_4h,raw_ic_24h,adj_ic_24h,raw_ic_72h,adj_ic_72h,used_in_current_signal,signal_role,recommendation,notes
breakout_dist_20h,breakout,high; low; close,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.021392,-0.021392,-0.020662,-0.020662,-0.008058,-0.008058,0.003245,0.003245,False,,Moderate IC; monitor,(close - HH20) / (HH20 - LL20 + eps)
breakout_dist_48h,breakout,high; low; close,,48,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.017646,-0.017646,-0.01993,-0.01993,-0.01089,-0.01089,0.00258,0.00258,False,,Low IC; keep in registry,(close - HH48) / (HH48 - LL48 + eps)
candle_body,intraday_candle,open; high; low; close,,1,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.031128,-0.031128,-0.022799,-0.022799,-0.010006,-0.010006,-0.004071,-0.004071,False,,Direction unknown; keep for diagnostic,(close - open) / (high - low + eps)
candle_wick_upper,intraday_candle,open; high; low; close,,1,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.010023,-0.010023,0.00356,-0.00356,-0.005602,0.005602,-0.007525,0.007525,False,,Low IC; keep in registry,"(high - max(open, close)) / (high - low + eps)"
candle_wick_lower,intraday_candle,open; high; low; close,,1,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.006118,-0.006118,-0.000374,-0.000374,0.003389,0.003389,0.00211,0.00211,False,,Low IC; keep in registry,"(min(open, close) - low) / (high - low + eps)"
xs_rank_ret_1h,cross_sectional_normalized,close,,2,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.036506,-0.036506,-0.028157,-0.028157,-0.011881,-0.011881,-0.004559,-0.004559,False,,Direction unknown; keep for diagnostic,Per-symbol 1h return; cross-sectional rank applied by caller
xs_rank_vol,cross_sectional_normalized,volume,,20,conditional,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.019129,-0.019129,-0.029199,-0.029199,-0.054863,-0.054863,-0.068675,-0.068675,True,liquidity_gate,ACTIVE — no action needed,Per-symbol 20h rolling mean volume; cross-sectional rank applied by caller
ema_12_26_gap,technical_indicators,close,,26,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.015242,-0.015242,-0.024928,-0.024928,-0.028321,-0.028321,-0.017292,-0.017292,False,,Low IC; keep in registry,(EMA12 - EMA26) / EMA26
rsi_7h,technical_indicators,close,,8,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.030477,0.030477,-0.032771,0.032771,-0.022794,0.022794,-0.011818,0.011818,True,oscillator,ACTIVE — no action needed,"Wilder RSI lookback=7, 0-100 scale; lookback_window=8 for diff(1)+ewm(7)"
rsi_28h,technical_indicators,close,,29,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.025334,0.025334,-0.032994,0.032994,-0.032244,0.032244,-0.018049,0.018049,True,oscillator,ACTIVE — no action needed,"Wilder RSI lookback=28, 0-100 scale; lookback_window=29 for diff(1)+ewm(28)"
williams_r_14h,technical_indicators,high; low; close,,14,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.022988,-0.022988,0.020707,-0.020707,0.006883,-0.006883,-0.003385,0.003385,False,,Moderate IC; monitor,"(HH14 - close) / (HH14 - LL14 + eps), 0-1 scale"
downside_vol_20h,realized_skew_kurtosis,close,,21,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.02887,0.02887,-0.044452,0.044452,-0.074249,0.074249,-0.089635,0.089635,True,risk_pressure,ACTIVE — no action needed,"rolling_std(min(ret_1h, 0), 20); lookback=21 for pct_change+std(20)"
vol_of_vol_20h,realized_skew_kurtosis,close,,26,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.03028,0.03028,-0.046115,0.046115,-0.072806,0.072806,-0.080223,0.080223,True,risk_pressure,ACTIVE — no action needed,"rolling_std(rolling_std(ret, 5), 20); lookback=26 for pct_change+std(5)+std(20)"
mom_accel_20h,momentum,close,,25,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.023946,-0.023946,-0.024419,-0.024419,-0.018582,-0.018582,-0.010796,-0.010796,False,,Moderate IC; monitor,"mom_20h - delay(mom_20h, 5); lookback=25 for lag(20)+delay(5)"
qvol_ma_ratio_5_20,quote_volume_liquidity,quote_volume,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.005389,-0.005389,-0.004533,-0.004533,-0.005028,-0.005028,-0.002046,-0.002046,False,,Low IC; keep in registry,"SMA(quote_volume, 5) / SMA(quote_volume, 20) - 1"
ma_gap_20_80,trend_ma,close,,80,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.006943,-0.006943,-0.015491,-0.015491,-0.021131,-0.021131,-0.01304,-0.01304,False,,Low IC; keep in registry,(SMA20 - SMA80) / SMA80
taker_buy_ratio_20h,taker_imbalance,taker_buy_quote_volume; quote_volume,taker_buy_quote_volume,20,positive,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,-0.004995,-0.004995,-0.004465,-0.004465,-0.00199,-0.00199,0.00469,0.00469,False,,Acquire data source before building,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_zscore_20h,taker_imbalance,taker_buy_quote_volume; quote_volume,taker_buy_quote_volume,20,positive,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,-0.011372,-0.011372,-0.007639,-0.007639,-0.001865,-0.001865,-0.000236,-0.000236,False,,Acquire data source before building,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache."
taker_buy_delta_5h,taker_imbalance,taker_buy_quote_volume; quote_volume,taker_buy_quote_volume,6,positive,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,-0.008093,-0.008093,-0.004924,-0.004924,-0.001099,-0.001099,-0.000493,-0.000493,False,,Acquire data source before building,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_level_20h,funding_rate,funding_rate,funding_rate,20,negative,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,0.010274,-0.010274,0.018707,-0.018707,0.034482,-0.034482,0.044669,-0.044669,False,,Acquire data source before building,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_zscore_80h,funding_rate,funding_rate,funding_rate,80,negative,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,0.00521,-0.00521,0.008888,-0.008888,0.013803,-0.013803,0.00683,-0.00683,False,,Acquire data source before building,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,funding_rate,funding_rate,25,negative,DIAGNOSTIC_PROBE,MISSING_INPUT_DATA,MISSING_INPUT_DATA,MISSING_INPUT_DATA,,,0.002708,-0.002708,0.005184,-0.005184,0.006731,-0.006731,0.00158,-0.00158,False,,Acquire data source before building,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache."
mom_72h,momentum,close,,72,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.015832,-0.015832,-0.025182,-0.025182,-0.03094,-0.03094,-0.018122,-0.018122,False,,Low IC; keep in registry,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic
mom_120h,momentum,close,,120,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.011908,-0.011908,-0.019476,-0.019476,-0.02314,-0.02314,-0.015619,-0.015619,False,,Low IC; keep in registry,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic
rev_1h,reversal,close,,1,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.036506,0.036506,0.028157,0.028157,0.011881,0.011881,0.004559,0.004559,False,,Strong IC candidate; consider for future signal variant,-(close / close_1h_ago - 1); very short-term reversal diagnostic
rev_72h,reversal,close,,72,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.015832,0.015832,0.025182,0.025182,0.03094,0.03094,0.018122,0.018122,False,,Low IC; keep in registry,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic
vol_ratio_20_80,volatility,close,,81,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.007581,-0.007581,-0.011489,-0.011489,-0.012317,-0.012317,-0.009883,-0.009883,False,,Direction unknown; keep for diagnostic,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic"
realized_skew_20h,realized_shape,close,,21,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.011817,-0.011817,-0.016792,-0.016792,-0.026522,-0.026522,-0.024137,-0.024137,False,,Direction unknown; keep for diagnostic,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic
realized_kurt_20h,realized_shape,close,,21,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.003827,-0.003827,-0.006736,-0.006736,-0.011835,-0.011835,-0.010345,-0.010345,False,,Direction unknown; keep for diagnostic,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic
amihud_illiquidity_20h,liquidity,close; quote_volume,,21,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.004345,-0.004345,0.007434,-0.007434,0.012806,-0.012806,0.016905,-0.016905,False,,Low IC; keep in registry,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized"
qvol_ma_ratio_20_80,quote_volume_liquidity,quote_volume,,80,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.004197,-0.004197,-0.006728,-0.006728,-0.007957,-0.007957,-0.004762,-0.004762,False,,Direction unknown; keep for diagnostic,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime"
price_volume_corr_20h,volume_price,close; quote_volume,,21,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.021736,-0.021736,-0.031899,-0.031899,-0.040248,-0.040248,-0.035729,-0.035729,False,,Direction unknown; keep for diagnostic,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic"
trend_efficiency_24h,trend_quality,close,,24,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.002094,-0.002094,-0.001095,-0.001095,-0.002463,-0.002463,-0.00388,-0.00388,False,,Low IC; keep in registry,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move"
price_pos_120h,price_position,high; low; close,,120,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.012662,-0.012662,-0.015316,-0.015316,-0.00746,-0.00746,0.00348,0.00348,False,,Direction unknown; keep for diagnostic,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic
rev_2h,reversal,close,,2,positive,DIAGNOSTIC_PROBE,COMPUTED,EXISTS,NOT_COMPUTED,,,,,,,,,,,False,,Run evaluate_factors.py,-(close / close_2h_ago - 1); short-term reversal
mom_vol_adjusted_20h,momentum,close,,21,positive,DIAGNOSTIC_PROBE,COMPUTED,EXISTS,NOT_COMPUTED,,,,,,,,,,,False,,Run evaluate_factors.py,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol"
range_breakout_vol_confirm_20h,breakout,high; low; close; volume,,20,positive,DIAGNOSTIC_PROBE,COMPUTED,EXISTS,NOT_COMPUTED,,,,,,,,,,,False,,Run evaluate_factors.py,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout"
volume_pressure_20h,volume_price,close; volume,,21,positive,DIAGNOSTIC_PROBE,COMPUTED,EXISTS,NOT_COMPUTED,,,,,,,,,,,False,,Run evaluate_factors.py,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure"
xs_rank_mom_accel,cross_sectional_normalized,close,,25,positive,DIAGNOSTIC_PROBE,COMPUTED,EXISTS,NOT_COMPUTED,,,,,,,,,,,False,,Run evaluate_factors.py,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller"
