metric_name,source_file,source_phase,signal_id,horizon,value,direction,interpretation,used_for_policy,notes
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,72h,-0.006721,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,1h,-0.000026,NEGATIVE,Tail-trim spread slightly negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,4h,-0.000257,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,24h,-0.001746,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,72h,-0.00491,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
inverted_original_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,1h,0.018663,POSITIVE,10A-R computed RankIC for original signal,NO,Diagnostic only — different NaN handling from canonical 10A
inverted_original_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,4h,0.016936,POSITIVE,10A-R computed RankIC for original signal,NO,Diagnostic only — different NaN handling from canonical 10A
inverted_original_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,24h,-0.000564,NEGATIVE,10A-R computed RankIC for original signal — NEGATIVE here but POSITIVE in canonical 10A,NO,Diagnostic only — differs from canonical 10A due to NaN handling
inverted_original_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,72h,-0.025645,NEGATIVE,10A-R computed RankIC for original signal — NEGATIVE here but POSITIVE in canonical 10A,NO,Diagnostic only — differs from canonical 10A due to NaN handling
inverted_inverted_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,1h,-0.018663,NEGATIVE,10A-R computed RankIC for inverted signal,NO,Diagnostic only
inverted_inverted_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,4h,-0.016936,NEGATIVE,10A-R computed RankIC for inverted signal,NO,Diagnostic only
inverted_inverted_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,24h,0.000564,POSITIVE,10A-R computed RankIC for inverted signal,NO,Diagnostic only
inverted_inverted_rankic,phase10a_r_inverted_signal_diagnostic.csv,10A-R,signal_v0_core_only,72h,0.025645,POSITIVE,10A-R computed RankIC for inverted signal,NO,Diagnostic only
